battery_id,cycle_number,start_time,ambient_temperature,capacity_ahr,mean_current,min_voltage,final_voltage,max_temperature
B0005,2,2008-04-02T15:25:41,24.0,1.8564874208181572,-1.8187019641679727,2.612467347907089,3.277169976825196,38.98218133148803
B0005,4,2008-04-02T19:43:48,24.0,1.846327249719927,-1.8175598506612867,2.587208728940726,3.3002448871222545,39.03339796678704
B0005,6,2008-04-03T00:01:06,24.0,1.835349194223408,-1.8164865418840956,2.65191689384378,3.327451009868628,38.81879668981741
B0005,8,2008-04-03T04:16:37,24.0,1.8352625275821128,-1.8255891938692528,2.592947964776547,3.314181858907029,38.7623045063458
B0005,10,2008-04-03T08:33:25,24.0,1.8346455082120416,-1.8261139590277584,2.547419651124539,3.30549673128648,38.66539257343368
B0005,12,2008-04-03T12:55:10,24.0,1.8356616600675493,-1.8168108743168805,2.5209480504077413,3.302329112973759,38.75169504640032
B0005,14,2008-04-03T17:17:16,24.0,1.8351461429226603,-1.816791144707133,2.487927319492314,3.2937406695499014,38.8207012322275
B0005,16,2008-04-03T21:28:14,24.0,1.8257567905665535,-1.8443412120754061,2.665204904745877,3.3162307407741536,38.51713023385634
B0005,18,2008-04-04T01:38:15,24.0,1.8247738529891333,-1.853972745505648,2.603858472633368,3.297410935416153,38.526267904657
B0005,20,2008-04-04T05:48:08,24.0,1.824613268496936,-1.853589933851096,2.552853984885676,3.2884044830952868,38.52698128472781
B0005,22,2008-04-04T09:57:19,24.0,1.8246195526864504,-1.863380178294828,2.472448301852732,3.2662755750614747,38.54143406601644
B0005,25,2008-04-04T17:56:27,24.0,1.814201935767392,-1.8729688102878943,2.64956413267546,3.296199859463087,38.52197451768004
B0005,27,2008-04-04T22:01:54,24.0,1.8137521577549052,-1.8826095043160835,2.5724981777366227,3.2717574155336004,38.582485834057856
B0005,29,2008-04-05T02:20:26,24.0,1.8134404914735824,-1.8825367876363654,2.5249886697730286,3.264855084085025,38.52029413487392
B0005,31,2008-04-05T06:25:01,24.0,1.8025980036306504,-1.8817935155260215,2.694621861688723,3.309111201518355,38.21358592965045
B0005,33,2008-04-05T10:30:32,24.0,1.80210690024615,-1.8921861285036712,2.64010141737067,3.288149052868925,38.1983618706913
B0005,35,2008-04-05T14:34:41,24.0,1.802579500826209,-1.9027629207037406,2.573903509838096,3.260754100903525,38.31926916027133
B0005,37,2008-04-05T18:39:25,24.0,1.8030683142834096,-1.9133470605822436,2.4942396831720126,3.2294668217844102,38.4787542519308
B0005,39,2008-04-05T22:46:35,24.0,1.802777624719604,-1.9131602105481538,2.4556793246645583,3.224378894859077,38.54659017774874
B0005,42,2008-04-18T21:10:19,24.0,1.8470259949329195,-1.8553455745575975,2.632142800798914,3.2587403321633976,38.44749852224995
B0005,46,2008-04-19T02:29:09,24.0,1.847417311283644,-1.8746995273150975,2.5027764692056795,3.2180462147957645,38.992275791716615
B0005,50,2008-04-19T07:47:15,24.0,1.8361774213478947,-1.8738272127883846,2.617507742871704,3.2573096268397737,38.51424197364312
B0005,54,2008-04-19T13:01:42,24.0,1.825780747577624,-1.883193546754683,2.694074478000972,3.2802567474945943,38.165816144899125
B0005,58,2008-04-19T18:27:29,24.0,1.8251136435078368,-1.873239184822504,2.6237674644021887,3.279765451158692,38.16526203587147
B0005,62,2008-04-19T23:41:55,24.0,1.825581504220376,-1.9139593751505897,2.5010798299873738,3.2050689156049863,38.27549578575718
B0005,66,2008-04-20T04:54:41,24.0,1.814031127508391,-1.9030532722310995,2.68499881852498,3.276866922356563,37.98216079918311
B0005,70,2008-04-20T10:16:28,24.0,1.8147691941158937,-1.9134590742247914,2.547109116468133,3.2311300277309924,38.11100191887773
B0005,74,2008-04-20T15:37:05,24.0,1.813969388710352,-1.9136209099025532,2.471314764334132,3.2220257725268318,38.18831137948753
B0005,78,2008-04-20T20:50:38,24.0,1.802765665167823,-1.9025819745719061,2.6613903306108773,3.290082793730788,37.99854111908584
B0005,82,2008-04-21T02:15:02,24.0,1.804077040117352,-1.9130621638638965,2.541762355407921,3.2511761852414898,38.194201649765226
