time_s,voltage,current,temperature,capacity_ahr,cycle_number,start_time,ambient_temperature
0.0,4.202937200343293,-0.0018552703653270512,6.546128313360122,1.0819793880779518,1,2010-07-21T15:00:35,4
9.36,4.203467627142882,-0.0019924789577682816,6.566538966413903,1.0819793880779518,1,2010-07-21T15:00:35,4
23.281,3.957335714579553,-1.0073941876610386,6.605259968065899,1.0819793880779518,1,2010-07-21T15:00:35,4
36.406,3.933654330569148,-1.0053455870499288,6.682723553442252,1.0819793880779518,1,2010-07-21T15:00:35,4
49.625,3.915924044366086,-1.0052220550715216,6.763142355451014,1.0819793880779518,1,2010-07-21T15:00:35,4
62.813,3.9005934413973944,-1.004709587045667,6.817808595631709,1.0819793880779518,1,2010-07-21T15:00:35,4
75.89099999999999,3.886797328275911,-1.0064156653556713,6.694414873642924,1.0819793880779518,1,2010-07-21T15:00:35,4
89.031,3.874033269863135,-1.0059826833740846,6.535633802950875,1.0819793880779518,1,2010-07-21T15:00:35,4
102.14099999999999,3.861419996743425,-1.0045964487563406,6.449076061756411,1.0819793880779518,1,2010-07-21T15:00:35,4
115.297,3.849850003596085,-1.0077965434809535,6.3975645460817265,1.0819793880779518,1,2010-07-21T15:00:35,4
128.438,3.83858888910792,-1.0059840734908627,6.346820683316601,1.0819793880779518,1,2010-07-21T15:00:35,4
141.578,3.8277301191274242,-1.0053896471214452,6.279483920202518,1.0819793880779518,1,2010-07-21T15:00:35,4
154.719,3.8171519290363674,-1.005785038861195,6.240040604923409,1.0819793880779518,1,2010-07-21T15:00:35,4
167.813,3.806431629153818,-1.0037234179757857,6.162186995064062,1.0819793880779518,1,2010-07-21T15:00:35,4
180.906,3.7963925351518624,-1.0051425534155625,6.085342496949997,1.0819793880779518,1,2010-07-21T15:00:35,4
194.0,3.786252901251013,-1.0065944076585325,6.047901698368623,1.0819793880779518,1,2010-07-21T15:00:35,4
207.11,3.7764514552903936,-1.005904654565102,5.994298974369295,1.0819793880779518,1,2010-07-21T15:00:35,4
220.219,3.7665341485394763,-1.0050079881531824,5.929018450849619,1.0819793880779518,1,2010-07-21T15:00:35,4
233.313,3.7569249956583075,-1.0055817185748108,5.915122369959546,1.0819793880779518,1,2010-07-21T15:00:35,4
246.422,3.7474565538526945,-1.0049410946120343,5.87746808976124,1.0819793880779518,1,2010-07-21T15:00:35,4
259.547,3.7381785514053485,-1.0067714534941494,5.854538729053334,1.0819793880779518,1,2010-07-21T15:00:35,4
272.625,3.7292467528302655,-1.004355880473419,6.032300239987799,1.0819793880779518,1,2010-07-21T15:00:35,4
285.75,3.7207109364332176,-1.0058465365082445,6.187652808653868,1.0819793880779518,1,2010-07-21T15:00:35,4
298.86,3.712433825706371,-1.0073999831015945,6.31931168728807,1.0819793880779518,1,2010-07-21T15:00:35,4
311.953,3.704755874008374,-1.0060988892996294,6.459963098623032,1.0819793880779518,1,2010-07-21T15:00:35,4
325.094,3.697207097237384,-1.0072593410889106,6.5826235759308105,1.0819793880779518,1,2010-07-21T15:00:35,4
338.172,3.689981419333289,-1.0041055182873235,6.682475578624038,1.0819793880779518,1,2010-07-21T15:00:35,4
